SYMBOL,OPEN,HIGH,LOW,PREV. CLOSE,LTP,INDICATIVE CLOSE,CHANGE,% CHANGE,VOLUME (shares),VALUE (Crores),52W H,52W L,30 D %CHNG,365 D %CHNG
"CONCOR","535.00","543.70","527.00","533.65","527.00","-","-6.65","-1.25","2639193","141.45","569.80","421.45","6.92","-0.9"
"SWIGGY","279.00","282.75","274.30","279.80","276.30","-","-3.5","-1.25","8088166","224.63","474.00","235.75","2.3","-30.65"
"VBL","440.05","440.35","431.85","440.50","435.00","-","-5.5","-1.25","1811603","78.72","555.80","381.00","-6.29","-13.32"
"VEDL","270.00","271.10","266.55","271.10","267.50","-","-3.6","-1.33","10612499","284.91","795.00","249.70","2.67","-37.82"
"YESBANK","22.98","23.00","22.67","22.98","22.67","-","-0.31","-1.35","38939042","88.82","25.78","17.20","-3.94","20.71"
"CAMS","776.00","776.00","761.30","773.00","762.25","-","-10.75","-1.39","880470","67.36","844.90","611.40","-0.33","-80.3"
"SBIN","1,082.00","1,082.00","1,065.10","1,083.00","1,067.70","-","-15.3","-1.41","6273501","671.03","1,234.70","798.50","3.65","29.18"
"GMRAIRPORT","103.07","103.47","101.51","103.00","101.51","-","-1.49","-1.45","8232504","84.22","115.64","84.11","-9.22","11.83"
"ONGC","239.49","239.60","235.25","239.90","236.40","-","-3.5","-1.46","12128656","287.00","307.50","227.65","-4.36","-0.23"
"AUBANK","1,098.00","1,098.00","1,078.60","1,098.00","1,081.90","-","-16.1","-1.47","1009455","109.55","1,105.90","682.15","3.97","44.14"
"IOC","140.85","140.85","138.82","141.50","139.40","-","-0.85","-0.61","9237608","128.86","188.96","130.22","-0.6","-0.52"
"ALKEM","5,432.00","5,448.00","5,175.00","5,449.50","5,368.00","-","-81.5","-1.5","635598","338.80","5,933.50","5,075.00","-5.14","0.38"
"KEI","5,770.00","5,795.00","5,672.20","5,789.00","5,700.00","-","-89","-1.54","189387","108.11","5,837.00","3,728.70","11.93","49.45"
"DELHIVERY","466.95","469.60","459.70","467.00","459.70","-","-7.3","-1.56","1469446","68.25","524.00","374.45","-7.76","-0.95"
"BSE","3,501.00","3,502.00","3,435.00","3,502.80","3,447.00","-","-55.8","-1.59","3018212","1,043.89","4,446.80","2,021.50","-8.19","38.88"
"HINDALCO","1,035.80","1,036.80","1,021.35","1,046.25","1,029.50","-","-16.75","-1.6","3423326","352.61","1,176.00","670.95","7.71","48.08"
"ANGELONE","292.00","294.30","286.25","292.00","287.30","-","-4.7","-1.61","3898187","112.78","360.45","208.63","-16.34","-89.13"
"PRESTIGE","1,620.00","1,623.90","1,582.40","1,618.90","1,592.50","-","-26.4","-1.63","275252","43.94","1,805.20","1,090.00","-5.55","-0.52"
"ABCAPITAL","405.60","408.20","401.00","407.70","401.00","-","-6.7","-1.64","1264602","50.95","430.70","267.25","-0.82","46.89"
"TORNTPHARM","4,888.00","4,915.50","4,833.00","4,914.50","4,833.00","-","-81.5","-1.66","166892","81.33","5,250.00","3,480.60","-3.68","33.4"
"TIINDIA","2,788.00","2,788.00","2,685.00","2,780.00","2,733.50","-","-46.5","-1.67","539329","147.54","3,419.90","2,164.90","-7.01","-10.77"
"VMM","107.00","107.28","105.05","107.00","105.20","-","-1.8","-1.68","4906421","51.88","157.60","98.77","-7.67","-28.22"
"HYUNDAI","2,225.00","2,255.00","2,191.60","2,237.10","2,199.00","-","-38.1","-1.7","629978","139.55","2,890.00","1,658.00","9.79","-1.86"
"CHOLAFIN","1,900.10","1,913.70","1,885.00","1,927.90","1,894.40","-","-33.5","-1.74","626875","119.15","1,952.50","1,299.40","5.02","29.62"
